Code,Title,Brand,Model,Price,Category
5904497,"""Lavadora de Roupa Panasonic 16kg 9 Programas de Lavagem NA-F160P5XA""","""PANASONIC L.BRANCA""","""Panasonic l.branca""",2299,ed
6798117,"""Lavadora de Roupas Consul 12kg com Eco Enxágue CWS12ABBNA""","""CONSUL""","""""",1499,ed
6099268,"""Lavadora de Roupas Midea Lava  Seca Acqua 10,1Kg Branca 220v LSA102""","""Midea""","""""",2249,ed
5082686,"""Máquina de Lavar Roupas Consul 12kg 127V Branco""","""Consul""","""""",1599.9,ed
5985283,"""Lavadora de Roupas Wanke 10Kg Bárbara""","""WANKE""","""""",349.9,ed
7146066,"""Lava e Seca LG Top Gun Branca 14 kg 110V  WD1014RW""","""LG""","""""",4187,ed
6811484,"""Lavadora de Roupas Semi-Automática Colormaq 12Kg LCB12 Azul""","""Colormaq""","""""",399,ed
6130925,"""Lavadora de Roupas Colormaq LCA12 11,5Kg  Branca""","""Colormaq""","""""",1099,ed
6084935,"""Lavadora de Roupas Midea Lava  Seca Acqua 8 Kg Branca 127v LSA081""","""Midea""","""""",1899,ed
6547715,"""Lavadora de Roupas 2.7Kg New Pioneer Colormaq Automática""","""COLORMAQ""","""""",269.9,ed
7326749,"""Lava e Seca Top Load Wi-Fi 12Kg (LSW12)""","""Electrolux""","""Electrolux""",4099,ed
6965574,"""Lavadora de Roupas Automática 16Kg Electrolux Turbo LAC16""","""ELECTROLUX""","""""",1759.9,ed
6680753,"""Lavadora Brastemp 15 KG 7 Programas de Lavagem BWH15AB""","""BRASTEMP""","""""",1989.9,ed
6987619,"""Lavadora de Roupas Semi-Automática Colormaq 10 Kg LCB10 Preta""","""Colormaq""","""""",359,ed
7218708,"""Lava e Seca LG Prime Big Door Aço Escovado 8,5 kg 220V  WD1485ATA7B""","""LG""","""""",2599,ed
6391399,"""Lavadora de Roupas Electrolux 08 kg LT08E""","""ELECTROLUX""","""""",1089.9,ed
2144106,"""Lava e Seca LG 8,5Kg Direct Drive""","""lg""","""14 Programas de Lavagem Água Quente""",2699.9,ed
6893482,"""Lavadora Semiautomática 4.5 kg Plus - Mueller""","""MUELLER LAVADORAS""","""Mueller lavadoras""",629.9,ed
2159006,"""Lava e Seca Samsung 9kg Inox WD6000""","""samsung""","""WD90J6410AX 13 Programas de Lavagem""",3659.9,ed
2155626,"""Lava e Seca LG 14kg Top Gun""","""lg""","""12 Programas de Lavagem""",4599,ed
7142462,"""Lava E Seca Midea Branca 10kg 127v""","""Midea""","""""",1998.99,ed
6647265,"""Lavadora de Roupas Midea Lava  Seca Acqua 8 Kg Branca 220v LSA082""","""Midea""","""""",1899,ed
6958589,"""Lavadora de Roupas Semi-Automática Arno 10 Kg ML60 Lavete Intense Branca""","""Lavete""","""""",409,ed
6854208,"""Lavadora de Roupas 5Kg Pop Tank Semi Automática Mueller""","""MUELLER LAVADORAS""","""Mueller lavadoras""",379.9,ed
6168940,"""Lavadora de Roupas Mueller Family 10kg""","""MUELLER""","""""",409.9,ed
6167038,"""Lavadora de Roupas Semi-Automática Colormaq 10 Kg LCB10 Branca""","""Colormaq""","""""",359,ed
6800654,"""Lavadora Semiautomática Mueller Plus 4.5 KG Timer Superior 3 Programas Agitador Eficiente""","""MUELLER LAVADORAS""","""Mueller lavadoras""",589.9,ed
5576688,"""Lavadora de Roupas Brastemp 11Kg BWJ11AB com Turbo Performance""","""Brastemp""","""""",1498.8,ed
2029729,"""Lava e Seca Samsung 10,1kg WD106UHSAWQ""","""samsung""","""14 Programas de Lavagem Água Quente""",None,ed
