Code,Title,Brand,Model,Price,Category
7256451,"""Geladeira Brastemp Frost Free Duplex 400 litros Branca com Freeze Control""","""Brastemp""","""""",2461,ed
2019929,"""Geladeira/Refrigerador Electrolux Frost Free Inox""","""electrolux""","""454L Painel Touch DT52X""",6199.9,ed
7058524,"""Refrigerador Cycle Defrost  475L Branco (DC51)""","""Electrolux""","""Electrolux""",2279,ed
9244052,"""Frigobar Brastemp 76L Amarelo""","""brastemp""","""Retrô""",1169.9,ed
7278466,"""Geladeira Brastemp Frost Free Duplex 400 litros cor Inox com Freeze Control""","""Brastemp""","""""",2749,ed
9146204,"""Frigobar Brastemp 76L Marsala""","""brastemp""","""Retrô BRA08BG""",1499,ed
9233822,"""Frigobar Brastemp 76L Vermelho""","""brastemp""","""Retrô BRA08A""",1169.9,ed
8284231,"""Geladeira Consul Degelo Manual 239 litros Branca com Gavetão Hortifruti""","""Consul""","""""",1089,ed
6969280,"""Refrigerador Consul Biplex 334 Litros Cycle Defrost CRD37""","""CONSUL""","""""",1529.9,ed
130195,"""Geladeira/Refrigerador Esmaltec Cycle Defrost ""","""esmaltec""","""245L ROC31 Branco""",None,ed
100682,"""Geladeira/Refrigerador Electrolux Frost Free""","""electrolux""","""Side by Side 504L Dispenser de Água SS72X Titanium""",None,ed
2114875,"""Frigobar Electrolux 78,8L Preto com Porta de Vidro""","""electrolux""","""RV80""",None,ed
130723,"""Geladeira/Refrigerador Electrolux Frost Free 323L""","""electrolux""","""Painel Touch RFE3911006 Branco""",None,ed
2180378,"""Geladeira/Refrigerador Samsung Frost Free Inox""","""samsung""","""French Door 564L RF56K9040SR/AZ""",None,ed
6650719,"""Geladeira/Refrigerador Esmaltec 2 Portas Cycle Defrost RCD34 276 Litros Branco""","""Esmaltec""","""""",None,ed
2180377,"""Geladeira/Refrigerador Samsung Frost Free Inox""","""samsung""","""French Door 665L Dispenser de Água RF28HDEDBSR/AZ""",None,ed
888062,"""Geladeira/Refrigerador Electrolux Cycle Defrost""","""electrolux""","""Duplex 362L DC44 Branco""",None,ed
130715,"""Geladeira/Refrigerador Electrolux Frost Free""","""electrolux""","""Duplex 459L Painel Touch DF52 Branco""",None,ed
9261538,"""Geladeira Brastemp Ative! Inverse Frost Free 422 L""","""Brastemp""","""""",None,ed
6705651,"""Refrigerador Electrolux Cycle Defrost 262L 127V Porta Branco""","""Electrolux""","""""",None,ed
6602910,"""Geladeira/Refrigerador Electrolux Frost Free 2 Portas DF53X 427 Litros Inox""","""Electrolux""","""""",None,ed
6951473,"""Mini Geladeira para Automóvel 24 Litros 12V BDC24L-LA Black Decker""","""Black Decker""","""""",None,ed
7431527,"""Refrigerador Elux Db83X 127V Electrolux""","""Electrolux""","""""",None,ed
5844476,"""Refrigerador Brastemp Duplex Inox 462 Litros 110V BRM56AK""","""Brastemp""","""""",None,ed
7430843,"""Frigobar 76 Litros Cycle Defrost Retro Brastemp BRA08AE""","""Brastemp""","""Brastemp""",None,ed
6001663,"""Refrigerador Samsung Multiportas Frost Free Inox 614 Litros 110V RFG28MESL1/XAZ""","""Samsung""","""""",None,ed
7527221,"""Refrigerador 2 Portas 386L Frost Free CRM43HK Consul""","""Consul""","""""",None,ed
7732576,"""Refrigerador 275 Litros Frost Free Consul CRM35HB""","""Consul""","""""",None,ed
7557132,"""Refrigerador 2 Portas 352L Frost Free BRM39EK Brastemp""","""Brastemp""","""""",None,ed
7783514,"""Refrigerador 2 Portas 380L Frost Free Electrolux DW42X""","""Electrolux""","""""",None,ed
7547620,"""Refrigerador 2 Portas Frost Free 459L DF52 Electrolux""","""Electrolux""","""""",None,ed
9203331,"""Frigobar NGV 10 Preto 220V - Venax""","""Venax""","""Venax""",None,ed
9132159,"""Cervejeira Venax EXPM100 220V com Adesivo de Taça""","""Venax""","""Venax""",None,ed
9060137,"""Vitrine Expositora de Bebidas Venax 110V""","""Venax""","""Venax""",None,ed
9216331,"""Frigobar Cadence Gourmet 59187 220V""","""Cadence""","""Cadence""",None,ed
